density,alcohol,citric_acid,residual_sugar,pH,type,quality
3.236552921,2.304347826,3.168674699,3.52607362,2.88372093,0,2
2.802776171,2.434782609,3.006024096,2.780674847,2.953488372,0,2
2.785425101,2.565217391,2.734939759,2.904907975,4.348837209,0,3
2.577212261,2.826086957,2.734939759,2.242331288,5.744186047,0,2
3.063042221,2.434782609,2.897590361,3.194785276,4.069767442,0,3
3.063042221,2.434782609,2.897590361,3.194785276,4.069767442,0,3
1.969924812,4,2.518072289,1.096625767,4.837209302,0,2
2.525159051,2.043478261,3.927710843,2.090490798,2.186046512,0,3
3.236552921,2.173913043,3.493975904,3.505368098,3.23255814,0,2
2.924233661,2.565217391,3.710843373,2.753067485,3.023255814,0,2
2.681318681,2.434782609,2.843373494,2.187116564,4.488372093,0,2
2.681318681,2.434782609,2.843373494,2.187116564,4.488372093,0,2
2.195488722,3.217391304,1,1.124233129,7.348837209,0,1
1.744360902,5.304347826,2.301204819,1.372699387,5.11627907,0,3
1.692307692,5.956521739,3.168674699,1.151840491,4.279069767,0,3
2.924233661,2.565217391,3.710843373,2.753067485,3.023255814,0,2
2.924233661,2.565217391,3.602409639,2.753067485,3.23255814,0,2
2.091382302,3.869565217,1.21686747,1.70398773,4.488372093,0,2
2.958935801,2.043478261,2.734939759,2.601226994,3.023255814,0,2
2.403701562,3.217391304,2.680722892,1.862730061,4.976744186,0,2
2.403701562,2.434782609,2.518072289,1.607361963,4.976744186,0,3
1.987275882,3.347826087,3.548192771,1.13803681,4.418604651,0,3
1.709658762,4.913043478,2.951807229,1.069018405,4.837209302,0,3
2.195488722,4.260869565,2.246987952,1.883435583,3.930232558,0,2
2.507807981,3.217391304,2.734939759,1.966257669,6.093023256,0,4
1.917871602,4.782608696,4.036144578,1.303680982,5.046511628,0,4
1.917871602,4.782608696,4.036144578,1.289877301,5.11627907,0,3
2.195488722,4.391304348,2.355421687,2.352760736,5.674418605,0,2
2.507807981,3.217391304,2.734939759,1.966257669,6.093023256,0,4
2.872180451,2.304347826,3.168674699,2.725460123,4.558139535,0,2
2.924233661,2.565217391,2.463855422,3.098159509,4.627906977,0,2
2.559861191,2.173913043,2.192771084,2.035276074,4.279069767,0,2
2.872180451,3.086956522,2.680722892,3.084355828,4.76744186,0,2
1.848467322,4.52173913,3.168674699,1.082822086,3.790697674,0,3
2.802776171,1.913043478,4.63253012,2.366564417,4.069767442,0,2
1.796414112,4.652173913,2.951807229,1.179447853,4,0,4
1.900520532,5.956521739,3.114457831,1.179447853,4.558139535,0,3
1.969924812,3.869565217,2.843373494,1.220858896,5.046511628,0,2
2.802776171,1.913043478,4.63253012,2.366564417,4.069767442,0,2
1.848467322,4.652173913,3.168674699,1.082822086,4.418604651,0,3
2.316946212,3.217391304,3.222891566,1.510736196,4.209302326,0,3
1.865818392,5.173913043,3.168674699,1.193251534,3.790697674,0,3
1.588201272,4.782608696,3.006024096,1.069018405,2.953488372,0,3
1.813765182,3.739130435,2.463855422,1.110429448,4.906976744,0,3
2.386350492,2.304347826,1.759036145,1.634969325,5.604651163,0,1
1.796414112,6.217391304,2.789156627,1.552147239,5.604651163,0,4
2.195488722,2.826086957,2.626506024,1.483128834,2.88372093,0,3
2.091382302,5.565217391,3.060240964,2.021472393,3.790697674,0,4
2.681318681,3.47826087,3.493975904,2.325153374,3.930232558,0,3
2.195488722,2.826086957,2.626506024,1.483128834,2.88372093,0,3
1.831116252,4.130434783,3.222891566,1.082822086,3.930232558,0,2
2.646616541,3.217391304,3.168674699,1.952453988,3.372093023,0,3
2.872180451,2.173913043,3.277108434,2.849693252,2.186046512,0,3
2.872180451,2.173913043,3.277108434,2.849693252,2.186046512,0,3
1.466743783,6.739130435,2.301204819,1.124233129,4.976744186,0,4
1.397339503,6.347826087,1.21686747,1.110429448,5.465116279,0,5
1.397339503,6.347826087,1.21686747,1.110429448,5.465116279,0,5
1.466743783,6.739130435,2.301204819,1.124233129,4.976744186,0,4
2.889531521,2.434782609,4.036144578,2.918711656,2.813953488,0,2
2.056680162,4.391304348,2.626506024,1.579754601,4.906976744,0,2
2.872180451,2.173913043,3.277108434,2.849693252,2.186046512,0,3
2.716020821,2.956521739,2.897590361,2.725460123,4,0,2
2.750722961,3.347826087,2.951807229,2.711656442,4.069767442,0,2
2.785425101,3.086956522,3.493975904,2.11809816,3.930232558,0,3
1.432041643,7,1.975903614,1.248466258,3.511627907,0,4
2.681318681,2.695652174,2.680722892,2.152607362,3.511627907,0,2
2.507807981,3.608695652,3.602409639,2.276840491,2.046511628,0,2
1.605552342,7.130434783,3.493975904,1.124233129,3.790697674,0,3
1.796414112,4.913043478,3.439759036,1.124233129,3.860465116,0,3
1.536148062,5.434782609,3.006024096,1.027607362,3.162790698,0,1
1.813765182,5.565217391,3.331325301,1.545245399,5.395348837,0,4
3.063042221,3.869565217,2.680722892,3.360429448,3.581395349,0,2
1.969924812,5.434782609,3.168674699,1.952453988,3.720930233,0,3
1.674956622,7,3.548192771,1.621165644,3.162790698,0,1
2.750722961,2.826086957,2.626506024,2.697852761,4.906976744,0,2
2.039329092,1.913043478,1.379518072,1.082822086,3.720930233,0,1
2.368999422,2.565217391,2.734939759,1.676380368,4.279069767,0,3
2.386350492,2.695652174,2.680722892,1.676380368,4.279069767,0,3
2.126084442,2.565217391,1.813253012,1.082822086,3.581395349,0,2
3.410063621,1.913043478,3.168674699,3.95398773,2.465116279,0,2
2.872180451,3.086956522,3.168674699,2.849693252,4.209302326,0,3
2.716020821,2.695652174,4.036144578,2.559815951,3.093023256,0,2
2.750722961,2.695652174,4.036144578,2.559815951,3.093023256,0,2
2.438403702,3.47826087,3.222891566,2.214723926,3.790697674,0,3
1.917871602,4.913043478,2.246987952,1.496932515,4,0,2
1.605552342,7.130434783,2.897590361,1.441717791,4.76744186,0,5
2.577212261,2.173913043,2.518072289,2.090490798,3.581395349,0,1
2.577212261,2.173913043,2.518072289,2.090490798,3.581395349,0,3
3.410063621,1.913043478,3.168674699,3.95398773,2.465116279,0,2
1.987275882,5.434782609,2.951807229,2.021472393,3.093023256,0,3
2.230190862,3.086956522,2.843373494,1.621165644,5.465116279,0,2
2.230190862,2.434782609,3.385542169,1.414110429,3.093023256,0,2
2.230190862,2.434782609,3.439759036,1.400306748,3.093023256,0,3
2.230190862,2.434782609,3.385542169,1.414110429,3.023255814,0,2
2.559861191,2.173913043,2.301204819,1.993865031,3.860465116,0,2
2.889531521,2.043478261,2.301204819,2.725460123,3.651162791,0,2
2.559861191,2.173913043,2.301204819,1.993865031,3.860465116,0,2
2.958935801,2.695652174,2.409638554,3.139570552,4,0,2
2.889531521,2.043478261,2.301204819,2.725460123,3.651162791,0,2
2.768074031,3.086956522,2.734939759,2.739263804,4.348837209,0,2
2.351648352,6.217391304,2.843373494,2.835889571,5.255813953,0,3
1.917871602,3.869565217,2.897590361,1.234662577,4.906976744,0,1
2.750722961,2.043478261,3.710843373,2.518404908,4,0,2
2.507807981,2.565217391,2.734939759,2.062883436,4.418604651,0,2
2.681318681,3.47826087,5.771084337,1.773006135,2.88372093,0,1
2.160786582,3.869565217,2.572289157,1.220858896,5.186046512,0,2
2.021978022,2.956521739,2.680722892,1.041411043,4.488372093,0,3
2.195488722,4.260869565,2.355421687,2.256134969,5.11627907,0,2
1.813765182,5.173913043,3.060240964,1.110429448,5.186046512,0,4
2.507807981,2.565217391,2.734939759,2.062883436,4.418604651,0,2
2.264893002,3.217391304,2.572289157,1.648773006,6.023255814,0,3
1.709658762,5.043478261,2.355421687,1.110429448,5.046511628,0,4
2.559861191,2.826086957,2.301204819,2.187116564,5.11627907,0,2
2.178137652,4.913043478,2.951807229,1.883435583,3.162790698,0,2
2.559861191,2.826086957,2.301204819,2.187116564,5.11627907,0,2
3.045691151,2.826086957,2.301204819,3.332822086,5.11627907,0,2
2.160786582,4.913043478,2.951807229,1.883435583,3.23255814,0,2
2.178137652,4.913043478,2.951807229,1.883435583,3.162790698,0,2
2.733371891,2.434782609,2.138554217,2.228527607,2.953488372,0,3
1.709658762,5.043478261,2.355421687,1.110429448,5.046511628,0,4
2.126084442,2.434782609,2.626506024,1.027607362,5.88372093,0,3
2.004626952,4.130434783,2.192771084,1.165644172,5.674418605,0,3
3.201850781,1.913043478,3.222891566,3.374233129,5.186046512,0,2
2.160786582,3.217391304,2.734939759,1.248466258,6.441860465,0,3
2.698669751,2.434782609,2.734939759,2.338957055,4.139534884,0,3
2.160786582,3.217391304,2.734939759,1.248466258,6.441860465,0,3
3.201850781,1.913043478,3.222891566,3.374233129,5.186046512,0,2
2.750722961,2.173913043,1.43373494,2.256134969,5.534883721,0,1
2.820127241,3.086956522,3.168674699,1.993865031,5.325581395,0,3
2.820127241,2.956521739,3.114457831,1.993865031,5.11627907,0,3
2.872180451,2.304347826,3.060240964,2.891104294,3.581395349,0,3
2.872180451,2.304347826,3.060240964,2.891104294,3.581395349,0,3
2.872180451,2.304347826,3.060240964,2.891104294,3.581395349,0,3
2.872180451,2.304347826,3.060240964,2.891104294,3.581395349,0,3
2.750722961,3.086956522,2.734939759,2.739263804,4.837209302,0,3
1.813765182,5.043478261,4.198795181,1.110429448,5.325581395,0,4
2.924233661,3.086956522,2.138554217,3.063650307,6.302325581,0,3
2.976286871,1.913043478,2.246987952,2.808282209,4.348837209,0,2
2.264893002,4.130434783,2.409638554,1.993865031,3.860465116,0,2
1.553499132,5.434782609,3.006024096,1.248466258,4,0,4
2.091382302,3.217391304,2.843373494,1.289877301,5.046511628,0,3
2.802776171,1.913043478,4.036144578,2.463190184,3.930232558,0,2
1.900520532,5.304347826,2.951807229,1.193251534,5.534883721,0,3
1.501445922,7,2.463855422,1.207055215,4.069767442,0,4
1.588201272,4.782608696,2.463855422,1.110429448,4.697674419,0,4
1.588201272,4.782608696,2.409638554,1.110429448,4.697674419,0,4
2.542510121,3.608695652,1.759036145,2.352760736,5.604651163,0,2
2.611914401,3.608695652,2.518072289,1.552147239,7.976744186,0,1
2.889531521,3.347826087,2.138554217,3.153374233,3.093023256,0,0
2.802776171,1.913043478,4.036144578,2.463190184,3.930232558,0,2
1.727009832,5.826086957,3.385542169,1.400306748,6.651162791,0,0
2.056680162,2.695652174,3.114457831,1.124233129,4.418604651,0,3
2.108733372,3.086956522,3.114457831,1.069018405,5.186046512,0,5
1.969924812,4.913043478,2.626506024,1.70398773,4.837209302,0,4
1.969924812,4.913043478,2.626506024,1.70398773,4.837209302,0,4
1.709658762,5.956521739,3.114457831,1.165644172,5.186046512,0,3
1.570850202,5.434782609,3.060240964,1.041411043,4.906976744,0,1
2.178137652,3.869565217,2.897590361,1.662576687,5.186046512,0,3
3.167148641,2.173913043,3.168674699,3.601993865,2.465116279,0,2
2.264893002,3.869565217,3.168674699,2.049079755,4.139534884,0,2
2.837478311,3.086956522,3.168674699,2.794478528,3.511627907,0,3
1.709658762,4.391304348,2.897590361,1.082822086,3.651162791,0,3
3.167148641,2.173913043,3.168674699,3.601993865,2.465116279,0,2
2.629265471,2.565217391,2.409638554,2.062883436,4.697674419,0,3
2.264893002,3.217391304,1.379518072,1.869631902,5.325581395,0,2
2.282244072,3.217391304,1.379518072,1.897239264,5.325581395,0,3
2.264893002,3.217391304,1.379518072,1.883435583,5.325581395,0,3
2.629265471,2.565217391,2.409638554,2.062883436,4.697674419,0,3
2.264893002,3.217391304,1.379518072,1.883435583,5.255813953,0,2
2.750722961,2.695652174,2.409638554,2.725460123,4.976744186,0,2
2.351648352,2.304347826,2.626506024,1.621165644,4.627906977,0,2
2.646616541,2.956521739,3.927710843,2.394171779,3.302325581,0,2
2.438403702,3.347826087,3.222891566,2.145705521,3.930232558,0,3
2.438403702,3.347826087,3.222891566,2.173312883,3.930232558,0,3
1.761711972,4.391304348,3.168674699,1.069018405,2.186046512,0,2
1.831116252,4.391304348,2.843373494,1.082822086,3.302325581,0,1
1.779063042,6.739130435,3.656626506,1.56595092,4.76744186,0,4
1.501445922,7,2.951807229,1.303680982,4.279069767,0,5
1.657605552,6.608695652,4.144578313,1.607361963,5.046511628,0,5
2.160786582,4.260869565,3.006024096,1.621165644,3.511627907,0,1
2.924233661,2.695652174,2.626506024,3.070552147,4.279069767,0,2
3.028340081,2.043478261,2.301204819,3.042944785,3.790697674,0,2
2.559861191,2.043478261,2.355421687,1.911042945,3.511627907,0,2
2.854829381,3.217391304,2.789156627,3.084355828,4.488372093,0,3
2.872180451,2.304347826,3.114457831,2.877300613,2.813953488,0,4
2.872180451,2.304347826,3.114457831,2.877300613,2.813953488,0,4
2.872180451,2.304347826,3.114457831,2.877300613,2.813953488,0,4
2.872180451,2.304347826,3.114457831,2.877300613,2.813953488,0,4
2.282244072,4.260869565,2.680722892,1.717791411,6.581395349,0,3
3.236552921,2.434782609,3.277108434,3.650306748,2.674418605,0,2
2.490456912,3.347826087,2.192771084,1.924846626,6.023255814,0,4
2.681318681,1.652173913,3.060240964,1.13803681,4.558139535,0,0
2.091382302,2.826086957,2.463855422,1.082822086,5.534883721,0,3
2.820127241,2.826086957,4.795180723,2.380368098,3.581395349,0,2
2.056680162,5.173913043,3.493975904,1.441717791,4.279069767,0,4
2.716020821,3.608695652,3.385542169,2.476993865,4.139534884,0,3
1.900520532,4,3.710843373,1.207055215,4,0,3
1.744360902,4.652173913,1,1.13803681,4.837209302,0,3
1.848467322,4.260869565,2.897590361,1.041411043,3.860465116,0,3
1.744360902,4.652173913,1,1.13803681,4.837209302,0,3
1.744360902,5.043478261,2.138554217,1.096625767,5.186046512,0,3
2.351648352,3.47826087,2.301204819,1.855828221,4.348837209,0,3
2.351648352,3.47826087,2.301204819,1.855828221,4.348837209,0,3
2.368999422,3.47826087,2.301204819,1.84202454,4.348837209,0,2
2.368999422,3.47826087,2.301204819,1.84202454,4.348837209,0,3
1.969924812,4.130434783,2.463855422,1.593558282,4.348837209,0,4
1.987275882,4.130434783,2.409638554,1.579754601,4.418604651,0,3
1.796414112,5.565217391,2.463855422,1.207055215,5.744186047,0,4
1.813765182,6.869565217,1.759036145,2.062883436,6.651162791,0,5
2.438403702,3.608695652,3.222891566,1.42791411,5.465116279,0,3
2.212839792,3.608695652,2.138554217,1.84202454,4.976744186,0,3
2.212839792,3.608695652,2.138554217,1.828220859,4.976744186,0,2
2.091382302,2.434782609,4.253012048,1.069018405,3.581395349,0,3
1.969924812,4.391304348,2.843373494,1.56595092,4.418604651,0,3
2.160786582,4.260869565,2.897590361,1.98006135,4.279069767,0,2
2.074031232,5.565217391,3.548192771,2.000766871,6.581395349,0,4
2.091382302,3.739130435,2.355421687,1.372699387,6.720930233,0,3
1.969924812,4,2.301204819,1.069018405,7.209302326,0,4
2.160786582,4.260869565,2.897590361,1.98006135,4.279069767,0,2
1.969924812,4.391304348,2.843373494,1.56595092,4.418604651,0,3
2.299595142,4.130434783,3.385542169,2.200920245,4.069767442,0,3
2.021978022,5.434782609,3.765060241,1.193251534,3.093023256,0,2
2.299595142,4.260869565,2.680722892,1.717791411,4.209302326,0,2
2.820127241,3.608695652,3.222891566,3.008435583,2.674418605,0,3
2.264893002,3.608695652,2.246987952,1.786809816,4.279069767,0,3
2.854829381,3.086956522,2.897590361,3.042944785,4.558139535,0,3
1.848467322,4.130434783,3.222891566,1.096625767,4.139534884,0,2
1.709658762,6.869565217,2.897590361,1.579754601,5.465116279,0,5
1.969924812,4.391304348,2.843373494,1.552147239,4.348837209,0,2
1.605552342,5.956521739,2.626506024,1.165644172,4.906976744,0,3
2.438403702,3.347826087,2.843373494,2.283742331,3.720930233,0,2
1.900520532,4.652173913,2.409638554,1.70398773,4.697674419,0,2
1.605552342,5.956521739,2.626506024,1.165644172,4.906976744,0,3
1.674956622,5.173913043,2.789156627,1.124233129,5.186046512,0,3
2.750722961,2.695652174,2.463855422,2.615030675,4.906976744,0,3
2.282244072,4.130434783,3.168674699,1.096625767,6.093023256,0,2
2.091382302,3.869565217,2.897590361,1.124233129,5.953488372,0,4
2.611914401,2.304347826,3.331325301,1.993865031,4.279069767,0,4
2.334297282,3.608695652,2.951807229,1.124233129,4.348837209,0,3
2.577212261,2.434782609,3.277108434,2.256134969,4.209302326,0,3
2.039329092,3.608695652,3.548192771,1.331288344,4.976744186,0,2
2.021978022,3.608695652,3.548192771,1.331288344,4.976744186,0,3
2.230190862,3.086956522,2.789156627,1.552147239,4.906976744,0,3
1.605552342,5.173913043,1.542168675,1.096625767,5.465116279,0,4
3.149797571,2.043478261,3.222891566,3.070552147,4.348837209,0,3
2.889531521,3.608695652,3.493975904,2.794478528,4,0,3
2.716020821,3.608695652,3.439759036,2.463190184,4,0,2
1.744360902,5.434782609,2.951807229,1.207055215,4.837209302,0,4
1.848467322,6.086956522,3.168674699,1.862730061,3.162790698,0,4
1.917871602,3.086956522,2.626506024,1.262269939,3.930232558,0,3
1.848467322,6.086956522,3.168674699,1.862730061,3.162790698,0,4
2.143435512,3.086956522,3.277108434,1.524539877,4.697674419,0,3
2.854829381,2.304347826,3.006024096,2.891104294,2.186046512,0,3
2.854829381,2.304347826,3.006024096,2.891104294,2.186046512,0,3
1.969924812,2.956521739,2.789156627,1.069018405,4,0,3
2.195488722,4.130434783,3.114457831,1.110429448,2.953488372,0,3
2.108733372,4.391304348,2.843373494,1.56595092,4.348837209,0,3
2.681318681,3.869565217,2.734939759,2.97392638,4.906976744,0,3
2.212839792,2.173913043,1.759036145,1.082822086,4,0,2
2.230190862,3.217391304,2.626506024,1.648773006,5.744186047,0,3
2.854829381,2.304347826,3.006024096,2.891104294,2.186046512,0,3
1.900520532,5.434782609,3.168674699,1.234662577,6.372093023,0,4
1.709658762,6.608695652,2.734939759,1.400306748,5.744186047,0,4
1.900520532,4.652173913,2.463855422,1.124233129,6.372093023,0,3
1.969924812,2.826086957,2.138554217,1.055214724,3.790697674,0,3
2.039329092,4.391304348,3.602409639,1.234662577,4.139534884,0,3
2.212839792,5.695652174,2.897590361,2.642638037,4.139534884,0,2
1.969924812,2.826086957,2.138554217,1.055214724,3.790697674,0,3
2.039329092,4.391304348,3.602409639,1.234662577,4.139534884,0,3
2.091382302,3.608695652,2.030120482,1.027607362,5.325581395,0,2
2.126084442,2.565217391,2.463855422,1.248466258,3.651162791,0,3
1.379988433,6.869565217,2.192771084,1.13803681,6.511627907,0,4
1.379988433,6.869565217,2.192771084,1.13803681,6.511627907,0,4
1.831116252,4.130434783,2.518072289,1.124233129,5.186046512,0,4
1.917871602,3.608695652,3.385542169,1.110429448,4,0,4
1.969924812,3.608695652,3.710843373,1.27607362,4.488372093,0,3
1.831116252,4.130434783,2.518072289,1.124233129,5.186046512,0,4
1.917871602,3.608695652,3.385542169,1.110429448,4,0,4
2.802776171,2.304347826,2.409638554,2.642638037,3.651162791,0,3
2.698669751,2.565217391,2.518072289,2.242331288,3.790697674,0,3
2.126084442,2.565217391,2.463855422,1.248466258,3.651162791,0,3
1.674956622,5.304347826,3.114457831,1.358895706,5.604651163,0,4
1.379988433,6.869565217,2.192771084,1.13803681,6.511627907,0,4
1.605552342,4.652173913,4.036144578,1.124233129,6.302325581,0,4
2.212839792,3.739130435,2.897590361,1.731595092,3.790697674,0,2
2.368999422,3.217391304,2.734939759,1.662576687,5.674418605,0,3
2.941584731,2.695652174,3.060240964,2.97392638,4.209302326,0,4
2.941584731,2.695652174,3.060240964,2.97392638,4.209302326,0,4
1.779063042,4.391304348,2.734939759,1.069018405,3.651162791,0,2
2.490456912,3.869565217,1.813253012,2.26993865,5.465116279,0,3
1.501445922,6.47826087,3.331325301,1.193251534,3.511627907,0,3
2.820127241,2.043478261,3.765060241,2.54601227,4.279069767,0,2
1.848467322,3.608695652,1.65060241,1.096625767,4.209302326,0,2
1.796414112,5.434782609,3.277108434,1.165644172,3.581395349,0,2
1.796414112,5.434782609,3.168674699,1.124233129,6.162790698,0,3
3.115095431,2.826086957,2.463855422,3.429447853,5.395348837,0,2
1.640254482,5.826086957,3.277108434,1.317484663,5.046511628,0,3
1.796414112,5.434782609,3.168674699,1.124233129,6.162790698,0,3
2.820127241,2.043478261,3.765060241,2.54601227,4.279069767,0,2
2.091382302,2.565217391,1.379518072,1.110429448,4.558139535,0,2
3.236552921,1.913043478,2.680722892,3.429447853,3.441860465,0,2
1.813765182,7,2.680722892,1.786809816,4.627906977,0,3
1.848467322,3.608695652,1.65060241,1.096625767,4.209302326,0,2
1.432041643,7.260869565,2.843373494,1.469325153,5.674418605,0,4
2.056680162,2.826086957,2.301204819,1.082822086,4.139534884,0,2
1.848467322,4,3.114457831,1.082822086,4.76744186,0,3
1.796414112,5.434782609,3.277108434,1.165644172,3.581395349,0,2
3.219201851,2.304347826,3.114457831,3.53297546,2.744186047,0,3
2.889531521,3.086956522,2.951807229,2.670245399,5.046511628,0,3
1.813765182,4.260869565,3.114457831,1.082822086,4.069767442,0,2
